	Ticker Symbol	Years	Period Ending	Period Ending Year	Total Revenue	Cost of Goods Sold	 Sales, General and Admin. 	Research and Development	Other Operating Items	GICS Sector	GICS Sub Industry	Gross Margin 1-(COGS/Total revenue)	Operating Margin [Operating profit or Income/Total revenue]	Operating profit [Gross profit - Total operatign expenses]	Gross profit [Total revenue - COGS]
437	DD	Year 2	12/31/2014	2014	$28,406,000,000	$17,023,000,000	$5,536,000,000	$1,958,000,000	$0	Materials	Diversified Chemicals	0.40	0.14	$3,889,000,000	$11,383,000,000
438	DD	Year 3	12/31/2015	2015	$25,130,000,000	$15,112,000,000	$5,074,000,000	$1,898,000,000	$0	Materials	Diversified Chemicals	0.40	0.12	$3,046,000,000	$10,018,000,000
439	DD	Year 4	12/31/2016	2016	$24,594,000,000	$14,469,000,000	$5,005,000,000	$1,641,000,000	$0	Materials	Diversified Chemicals	0.41	0.14	$3,479,000,000	$10,125,000,000
440	DE	Year 1	10/31/2013	2013	$37,795,400,000	$25,667,300,000	$4,426,100,000	$1,477,300,000	$0	Industrials	Construction & Farm Machinery & Heavy Trucks	0.32	0.16	$6,224,700,000	$12,128,100,000
441	DE	Year 2	10/31/2014	2014	$36,066,900,000	$24,775,800,000	$4,377,700,000	$1,452,000,000	$0	Industrials	Construction & Farm Machinery & Heavy Trucks	0.31	0.15	$5,461,400,000	$11,291,100,000
442	DE	Year 3	10/31/2015	2015	$28,862,800,000	$20,143,200,000	$3,834,400,000	$1,425,100,000	$0	Industrials	Construction & Farm Machinery & Heavy Trucks	0.30	0.12	$3,460,100,000	$8,719,600,000
443	DE	Year 4	10/31/2016	2016	$26,644,000,000	$18,248,900,000	$4,018,300,000	$1,389,100,000	$0	Industrials	Construction & Farm Machinery & Heavy Trucks	0.32	0.11	$2,987,700,000	$8,395,100,000
444	DFS	Year 1	11/30/2012	2012	$8,984,000,000	$845,000,000	$3,052,000,000	$0	$848,000,000	Financials	Consumer Finance	0.91	0.47	$4,239,000,000	$8,139,000,000
445	DFS	Year 2	12/31/2013	2013	$9,370,000,000	$698,000,000	$3,194,000,000	$0	$1,086,000,000	Financials	Consumer Finance	0.93	0.47	$4,392,000,000	$8,672,000,000
446	DFS	Year 3	12/31/2014	2014	$9,611,000,000	$614,000,000	$3,340,000,000	$0	$1,443,000,000	Financials	Consumer Finance	0.94	0.44	$4,214,000,000	$8,997,000,000
447	DFS	Year 4	12/31/2015	2015	$10,002,000,000	$623,000,000	$3,615,000,000	$0	$1,512,000,000	Financials	Consumer Finance	0.94	0.43	$4,252,000,000	$9,379,000,000
448	DG	Year 1	2/1/2013	2013	$16,022,128,000	$10,936,727,000	$3,430,125,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.32	0.10	$1,655,276,000	$5,085,401,000
449	DG	Year 2	1/31/2014	2014	$17,504,167,000	$12,068,425,000	$3,699,557,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.31	0.10	$1,736,185,000	$5,435,742,000
450	DG	Year 3	1/30/2015	2015	$18,909,588,000	$13,107,081,000	$4,033,414,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.31	0.09	$1,769,093,000	$5,802,507,000
451	DG	Year 4	1/29/2016	2016	$20,368,562,000	$14,062,471,000	$4,365,797,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.31	0.10	$1,940,294,000	$6,306,091,000
452	DGX	Year 1	12/31/2012	2012	$7,383,000,000	$4,365,000,000	$1,742,000,000	$0	$75,000,000	Health Care	Health Care Facilities	0.41	0.16	$1,201,000,000	$3,018,000,000
453	DGX	Year 2	12/31/2013	2013	$7,146,000,000	$4,326,000,000	$1,740,000,000	$0	$79,000,000	Health Care	Health Care Facilities	0.39	0.14	$1,001,000,000	$2,820,000,000
454	DGX	Year 3	12/31/2014	2014	$7,435,000,000	$4,637,000,000	$1,721,000,000	$0	$94,000,000	Health Care	Health Care Facilities	0.38	0.13	$983,000,000	$2,798,000,000
455	DGX	Year 4	12/31/2015	2015	$7,493,000,000	$4,657,000,000	$1,356,000,000	$0	$81,000,000	Health Care	Health Care Facilities	0.38	0.19	$1,399,000,000	$2,836,000,000
456	DHI	Year 1	9/30/2013	2013	$6,259,300,000	$4,853,500,000	$649,900,000	$0	$0	Consumer Discretionary	Homebuilding	0.22	0.12	$755,900,000	$1,405,800,000
457	DHI	Year 2	9/30/2014	2014	$8,024,900,000	$6,268,600,000	$826,900,000	$0	$0	Consumer Discretionary	Homebuilding	0.22	0.12	$929,400,000	$1,756,300,000
458	DHI	Year 3	9/30/2015	2015	$10,824,000,000	$8,535,700,000	$1,003,000,000	$0	$0	Consumer Discretionary	Homebuilding	0.21	0.12	$1,285,300,000	$2,288,300,000
459	DHI	Year 4	9/30/2016	2016	$12,157,400,000	$9,502,600,000	$1,100,300,000	$0	$0	Consumer Discretionary	Homebuilding	0.22	0.13	$1,554,500,000	$2,654,800,000
460	DHR	Year 1	12/31/2012	2012	$18,260,400,000	$8,846,100,000	$5,181,200,000	$1,137,900,000	$0	Industrials	Industrial Conglomerates	0.52	0.17	$3,095,200,000	$9,414,300,000
461	DHR	Year 2	12/31/2013	2013	$18,283,100,000	$8,941,100,000	$5,117,100,000	$1,104,400,000	$0	Industrials	Industrial Conglomerates	0.51	0.17	$3,120,500,000	$9,342,000,000
462	DHR	Year 3	12/31/2014	2014	$19,154,000,000	$9,261,400,000	$5,389,000,000	$1,157,000,000	$0	Industrials	Industrial Conglomerates	0.52	0.17	$3,346,600,000	$9,892,600,000
463	DHR	Year 4	12/31/2015	2015	$20,563,100,000	$9,800,600,000	$6,054,300,000	$1,239,100,000	$0	Industrials	Industrial Conglomerates	0.52	0.17	$3,469,100,000	$10,762,500,000
464	DIS	Year 1	9/28/2013	2013	$45,041,000,000	$25,034,000,000	$8,365,000,000	$0	$2,192,000,000	Consumer Discretionary	Broadcasting & Cable TV	0.44	0.21	$9,450,000,000	$20,007,000,000
465	DIS	Year 2	9/27/2014	2014	$48,813,000,000	$26,420,000,000	$8,565,000,000	$0	$2,288,000,000	Consumer Discretionary	Broadcasting & Cable TV	0.46	0.24	$11,540,000,000	$22,393,000,000
466	DIS	Year 3	10/3/2015	2015	$52,465,000,000	$28,364,000,000	$8,523,000,000	$0	$2,354,000,000	Consumer Discretionary	Broadcasting & Cable TV	0.46	0.25	$13,224,000,000	$24,101,000,000
467	DIS	Year 4	10/1/2016	2016	$55,632,000,000	$29,993,000,000	$8,754,000,000	$0	$2,527,000,000	Consumer Discretionary	Broadcasting & Cable TV	0.46	0.26	$14,358,000,000	$25,639,000,000
468	DISCA	Year 1	12/31/2013	2013	$5,535,000,000	$1,689,000,000	$1,598,000,000	$0	$276,000,000	Consumer Discretionary	Cable & Satellite	0.69	0.36	$1,972,000,000	$3,846,000,000
469	DISCA	Year 2	12/31/2014	2014	$6,265,000,000	$2,124,000,000	$1,692,000,000	$0	$329,000,000	Consumer Discretionary	Cable & Satellite	0.66	0.34	$2,120,000,000	$4,141,000,000
470	DISCA	Year 3	12/31/2015	2015	$6,394,000,000	$2,343,000,000	$1,669,000,000	$0	$330,000,000	Consumer Discretionary	Cable & Satellite	0.63	0.32	$2,052,000,000	$4,051,000,000
471	DISCA	Year 4	12/31/2016	2016	$6,497,000,000	$2,432,000,000	$1,690,000,000	$0	$322,000,000	Consumer Discretionary	Cable & Satellite	0.63	0.32	$2,053,000,000	$4,065,000,000
472	DISCK	Year 1	12/31/2013	2013	$5,535,000,000	$1,689,000,000	$1,598,000,000	$0	$276,000,000	Consumer Discretionary	Cable & Satellite	0.69	0.36	$1,972,000,000	$3,846,000,000
473	DISCK	Year 2	12/31/2014	2014	$6,265,000,000	$2,124,000,000	$1,692,000,000	$0	$329,000,000	Consumer Discretionary	Cable & Satellite	0.66	0.34	$2,120,000,000	$4,141,000,000
474	DISCK	Year 3	12/31/2015	2015	$6,394,000,000	$2,343,000,000	$1,669,000,000	$0	$330,000,000	Consumer Discretionary	Cable & Satellite	0.63	0.32	$2,052,000,000	$4,051,000,000
475	DISCK	Year 4	12/31/2016	2016	$6,497,000,000	$2,432,000,000	$1,690,000,000	$0	$322,000,000	Consumer Discretionary	Cable & Satellite	0.63	0.32	$2,053,000,000	$4,065,000,000
476	DLPH	Year 1	12/31/2013	2013	$15,051,000,000	$12,274,000,000	$916,000,000	$0	$97,000,000	Consumer Discretionary	Auto Parts & Equipment	0.18	0.12	$1,764,000,000	$2,777,000,000
477	DLPH	Year 2	12/31/2014	2014	$15,499,000,000	$12,471,000,000	$1,036,000,000	$0	$94,000,000	Consumer Discretionary	Auto Parts & Equipment	0.20	0.12	$1,898,000,000	$3,028,000,000
478	DLPH	Year 3	12/31/2015	2015	$15,165,000,000	$12,155,000,000	$1,017,000,000	$0	$93,000,000	Consumer Discretionary	Auto Parts & Equipment	0.20	0.13	$1,900,000,000	$3,010,000,000
479	DLPH	Year 4	12/31/2016	2016	$16,661,000,000	$13,107,000,000	$1,145,000,000	$0	$134,000,000	Consumer Discretionary	Auto Parts & Equipment	0.21	0.14	$2,275,000,000	$3,554,000,000
480	DLR	Year 1	12/31/2012	2012	$1,279,067,000	$461,898,000	$68,538,000	$0	$382,553,000	Real Estate	Specialized REITs	0.64	0.29	$366,078,000	$817,169,000
481	DLR	Year 2	12/31/2013	2013	$1,482,259,000	$555,660,000	$69,323,000	$0	$475,464,000	Real Estate	Specialized REITs	0.63	0.26	$381,812,000	$926,599,000
482	DLR	Year 3	12/31/2014	2014	$1,616,438,000	$603,321,000	$89,468,000	$0	$538,513,000	Real Estate	Specialized REITs	0.63	0.24	$385,136,000	$1,013,117,000
483	DLR	Year 4	12/31/2015	2015	$1,763,336,000	$651,282,000	$139,616,000	$0	$570,527,000	Real Estate	Specialized REITs	0.63	0.23	$401,911,000	$1,112,054,000
484	DLTR	Year 1	2/2/2013	2013	$7,394,500,000	$4,741,800,000	$1,732,600,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.36	0.12	$920,100,000	$2,652,700,000
485	DLTR	Year 2	2/1/2014	2014	$7,840,300,000	$5,050,500,000	$1,819,500,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.36	0.12	$970,300,000	$2,789,800,000
486	DLTR	Year 3	1/31/2015	2015	$8,602,200,000	$5,568,200,000	$1,993,800,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.35	0.12	$1,040,200,000	$3,034,000,000
487	DLTR	Year 4	1/30/2016	2016	$15,498,400,000	$10,841,700,000	$3,607,000,000	$0	$0	Consumer Discretionary	General Merchandise Stores	0.30	0.07	$1,049,700,000	$4,656,700,000
488	DNB	Year 1	12/31/2012	2012	$1,663,000,000	$0	$1,123,200,000	$0	$78,300,000	Industrials	Research & Consulting Services	1.00	0.28	$461,500,000	$1,663,000,000
489	DNB	Year 2	12/31/2013	2013	$1,558,400,000	$0	$1,058,000,000	$0	$60,400,000	Industrials	Research & Consulting Services	1.00	0.28	$440,000,000	$1,558,400,000
490	DNB	Year 3	12/31/2014	2014	$1,584,500,000	$0	$1,105,700,000	$0	$52,500,000	Industrials	Research & Consulting Services	1.00	0.27	$426,300,000	$1,584,500,000
491	DNB	Year 4	12/31/2015	2015	$1,637,100,000	$0	$1,209,100,000	$0	$58,700,000	Industrials	Research & Consulting Services	1.00	0.23	$369,300,000	$1,637,100,000
492	DOV	Year 1	12/31/2013	2013	$7,155,096,000	$4,376,505,000	$1,616,921,000	$0	$0	Industrials	Industrial Machinery	0.39	0.16	$1,161,670,000	$2,778,591,000
493	DOV	Year 2	12/31/2014	2014	$7,752,728,000	$4,778,479,000	$1,758,765,000	$0	$0	Industrials	Industrial Machinery	0.38	0.16	$1,215,484,000	$2,974,249,000
494	DOV	Year 3	12/31/2015	2015	$6,956,311,000	$4,388,167,000	$1,647,382,000	$0	$0	Industrials	Industrial Machinery	0.37	0.13	$920,762,000	$2,568,144,000
495	DOV	Year 4	12/31/2016	2016	$6,794,342,000	$4,322,373,000	$1,757,523,000	$0	$0	Industrials	Industrial Machinery	0.36	0.11	$714,446,000	$2,471,969,000
496	DPS	Year 1	12/31/2013	2013	$5,997,000,000	$2,499,000,000	$2,337,000,000	$0	$115,000,000	Consumer Staples	Soft Drinks	0.58	0.17	$1,046,000,000	$3,498,000,000
497	DPS	Year 2	12/31/2014	2014	$6,121,000,000	$2,491,000,000	$2,335,000,000	$0	$115,000,000	Consumer Staples	Soft Drinks	0.59	0.19	$1,180,000,000	$3,630,000,000
498	DPS	Year 3	12/31/2015	2015	$6,282,000,000	$2,559,000,000	$2,320,000,000	$0	$105,000,000	Consumer Staples	Soft Drinks	0.59	0.21	$1,298,000,000	$3,723,000,000
499	DPS	Year 4	12/31/2016	2016	$6,440,000,000	$2,582,000,000	$2,326,000,000	$0	$99,000,000	Consumer Staples	Soft Drinks	0.60	0.22	$1,433,000,000	$3,858,000,000
500	DRI	Year 1	5/26/2013	2013	$5,921,000,000	$4,616,600,000	$625,200,000	$0	$278,300,000	Consumer Discretionary	Restaurants	0.22	0.07	$400,900,000	$1,304,400,000
501	DRI	Year 2	5/25/2014	2014	$6,285,600,000	$4,990,500,000	$665,400,000	$0	$304,400,000	Consumer Discretionary	Restaurants	0.21	0.05	$325,300,000	$1,295,100,000
502	DRI	Year 3	5/31/2015	2015	$6,764,000,000	$5,341,500,000	$673,500,000	$0	$319,300,000	Consumer Discretionary	Restaurants	0.21	0.06	$429,700,000	$1,422,500,000
503	DRI	Year 4	5/29/2016	2016	$6,933,500,000	$5,392,400,000	$622,900,000	$0	$290,200,000	Consumer Discretionary	Restaurants	0.22	0.09	$628,000,000	$1,541,100,000
504	DUK	Year 1	12/31/2012	2012	$17,912,000,000	$11,235,000,000	$965,000,000	$0	$2,145,000,000	Utilities	Electric Utilities	0.37	0.20	$3,567,000,000	$6,677,000,000
505	DUK	Year 2	12/31/2013	2013	$22,756,000,000	$13,545,000,000	$1,274,000,000	$0	$2,668,000,000	Utilities	Electric Utilities	0.40	0.23	$5,269,000,000	$9,211,000,000
506	DUK	Year 3	12/31/2014	2014	$23,925,000,000	$14,323,000,000	$1,213,000,000	$0	$3,066,000,000	Utilities	Electric Utilities	0.40	0.22	$5,323,000,000	$9,602,000,000
507	DUK	Year 4	12/31/2015	2015	$23,459,000,000	$13,728,000,000	$1,135,000,000	$0	$3,144,000,000	Utilities	Electric Utilities	0.41	0.23	$5,452,000,000	$9,731,000,000
508	DVA	Year 1	12/31/2012	2012	$8,186,280,000	$5,583,549,000	$889,879,000	$0	$341,969,000	Health Care	Health Care Facilities	0.32	0.17	$1,370,883,000	$2,602,731,000
509	DVA	Year 2	12/31/2013	2013	$11,764,050,000	$8,198,377,000	$1,516,508,000	$0	$528,737,000	Health Care	Health Care Facilities	0.30	0.13	$1,520,428,000	$3,565,673,000
510	DVA	Year 3	12/31/2014	2014	$12,795,106,000	$9,119,305,000	$1,278,506,000	$0	$590,935,000	Health Care	Health Care Facilities	0.29	0.14	$1,806,360,000	$3,675,801,000
511	DVA	Year 4	12/31/2015	2015	$13,781,837,000	$9,824,834,000	$1,947,135,000	$0	$638,024,000	Health Care	Health Care Facilities	0.29	0.10	$1,371,844,000	$3,957,003,000
512	DVN	Year 1	12/31/2013	2013	$10,397,000,000	$2,268,000,000	$2,743,000,000	$0	$2,780,000,000	Energy	Oil & Gas Exploration & Production	0.78	0.25	$2,606,000,000	$8,129,000,000
513	DVN	Year 2	12/31/2014	2014	$20,638,000,000	$2,332,000,000	$8,290,000,000	$0	$3,319,000,000	Energy	Oil & Gas Exploration & Production	0.89	0.32	$6,697,000,000	$18,306,000,000
514	DVN	Year 3	12/31/2015	2015	$13,145,000,000	$2,104,000,000	$7,741,000,000	$0	$3,129,000,000	Energy	Oil & Gas Exploration & Production	0.84	0.01	$171,000,000	$11,041,000,000
515	DVN	Year 4	12/31/2016	2016	$12,197,000,000	$1,582,000,000	$6,476,000,000	$0	$1,792,000,000	Energy	Oil & Gas Exploration & Production	0.87	0.19	$2,347,000,000	$10,615,000,000
516	EA	Year 1	3/31/2013	2013	$3,797,000,000	$1,388,000,000	$1,078,000,000	$1,153,000,000	$30,000,000	Information Technology	Home Entertainment Software	0.63	0.04	$148,000,000	$2,409,000,000
517	EA	Year 2	3/31/2014	2014	$3,575,000,000	$1,347,000,000	$1,055,000,000	$1,125,000,000	$16,000,000	Information Technology	Home Entertainment Software	0.62	0.01	$32,000,000	$2,228,000,000
518	EA	Year 3	3/31/2015	2015	$4,515,000,000	$1,429,000,000	$1,030,000,000	$1,094,000,000	$14,000,000	Information Technology	Home Entertainment Software	0.68	0.21	$948,000,000	$3,086,000,000
519	EA	Year 4	3/31/2016	2016	$4,396,000,000	$1,354,000,000	$1,028,000,000	$1,109,000,000	$7,000,000	Information Technology	Home Entertainment Software	0.69	0.20	$898,000,000	$3,042,000,000
520	EBAY	Year 1	12/31/2013	2013	$8,257,000,000	$1,492,000,000	$3,260,000,000	$915,000,000	$136,000,000	Information Technology	Internet Software & Services	0.82	0.30	$2,454,000,000	$6,765,000,000
521	EBAY	Year 2	12/31/2014	2014	$8,790,000,000	$1,663,000,000	$3,593,000,000	$983,000,000	$75,000,000	Information Technology	Internet Software & Services	0.81	0.28	$2,476,000,000	$7,127,000,000
522	EBAY	Year 3	12/31/2015	2015	$8,592,000,000	$1,771,000,000	$3,660,000,000	$923,000,000	$41,000,000	Information Technology	Internet Software & Services	0.79	0.26	$2,197,000,000	$6,821,000,000
523	EBAY	Year 4	12/31/2016	2016	$8,979,000,000	$2,007,000,000	$3,499,000,000	$1,114,000,000	$34,000,000	Information Technology	Internet Software & Services	0.78	0.26	$2,325,000,000	$6,972,000,000
524	ECL	Year 1	12/31/2012	2012	$11,838,700,000	$6,385,400,000	$4,018,300,000	$0	$0	Materials	Specialty Chemicals	0.46	0.12	$1,435,000,000	$5,453,300,000
525	ECL	Year 2	12/31/2013	2013	$13,253,400,000	$7,161,200,000	$4,360,300,000	$0	$0	Materials	Specialty Chemicals	0.46	0.13	$1,731,900,000	$6,092,200,000
526	ECL	Year 3	12/31/2014	2014	$14,280,500,000	$7,679,100,000	$4,577,600,000	$0	$0	Materials	Specialty Chemicals	0.46	0.14	$2,023,800,000	$6,601,400,000
527	ECL	Year 4	12/31/2015	2015	$13,545,100,000	$7,223,500,000	$4,345,500,000	$0	$0	Materials	Specialty Chemicals	0.47	0.15	$1,976,100,000	$6,321,600,000
528	ED	Year 1	12/31/2013	2013	$12,354,000,000	$7,191,000,000	$1,895,000,000	$0	$1,024,000,000	Utilities	Electric Utilities	0.42	0.18	$2,244,000,000	$5,163,000,000
529	ED	Year 2	12/31/2014	2014	$12,919,000,000	$7,807,000,000	$1,877,000,000	$0	$1,071,000,000	Utilities	Electric Utilities	0.40	0.17	$2,164,000,000	$5,112,000,000
530	ED	Year 3	12/31/2015	2015	$12,554,000,000	$7,060,000,000	$1,937,000,000	$0	$1,130,000,000	Utilities	Electric Utilities	0.44	0.19	$2,427,000,000	$5,494,000,000
531	ED	Year 4	12/31/2016	2016	$12,075,000,000	$6,357,000,000	$2,031,000,000	$0	$1,216,000,000	Utilities	Electric Utilities	0.47	0.20	$2,471,000,000	$5,718,000,000
532	EFX	Year 1	12/31/2012	2012	$2,073,000,000	$759,500,000	$673,500,000	$0	$160,000,000	Industrials	Research & Consulting Services	0.63	0.23	$480,000,000	$1,313,500,000
533	EFX	Year 2	12/31/2013	2013	$2,303,900,000	$787,300,000	$715,800,000	$0	$189,600,000	Industrials	Research & Consulting Services	0.66	0.27	$611,200,000	$1,516,600,000
534	EFX	Year 3	12/31/2014	2014	$2,436,400,000	$844,700,000	$751,700,000	$0	$201,800,000	Industrials	Research & Consulting Services	0.65	0.26	$638,200,000	$1,591,700,000
535	EFX	Year 4	12/31/2015	2015	$2,663,600,000	$887,400,000	$884,300,000	$0	$198,000,000	Industrials	Research & Consulting Services	0.67	0.26	$693,900,000	$1,776,200,000
536	EIX	Year 1	12/31/2012	2012	$11,862,000,000	$7,747,000,000	$296,000,000	$0	$1,562,000,000	Utilities	Electric Utilities	0.35	0.19	$2,257,000,000	$4,115,000,000
537	EIX	Year 2	12/31/2013	2013	$12,581,000,000	$8,364,000,000	$309,000,000	$0	$1,622,000,000	Utilities	Electric Utilities	0.34	0.18	$2,286,000,000	$4,217,000,000
538	EIX	Year 3	12/31/2014	2014	$13,413,000,000	$8,742,000,000	$322,000,000	$0	$1,720,000,000	Utilities	Electric Utilities	0.35	0.20	$2,629,000,000	$4,671,000,000
539	EIX	Year 4	12/31/2015	2015	$11,524,000,000	$7,256,000,000	$336,000,000	$0	$1,919,000,000	Utilities	Electric Utilities	0.37	0.17	$2,013,000,000	$4,268,000,000
540	EL	Year 1	6/30/2013	2013	$10,181,700,000	$2,025,900,000	$6,597,000,000	$0	$0	Consumer Staples	Personal Products	0.80	0.15	$1,558,800,000	$8,155,800,000
541	EL	Year 2	6/30/2014	2014	$10,968,800,000	$2,158,200,000	$6,985,900,000	$0	$0	Consumer Staples	Personal Products	0.80	0.17	$1,824,700,000	$8,810,600,000
542	EL	Year 3	6/30/2015	2015	$10,780,400,000	$2,100,600,000	$7,073,500,000	$0	$0	Consumer Staples	Personal Products	0.81	0.15	$1,606,300,000	$8,679,800,000
543	EL	Year 4	6/30/2016	2016	$11,262,300,000	$2,181,100,000	$7,337,800,000	$0	$0	Consumer Staples	Personal Products	0.81	0.15	$1,743,400,000	$9,081,200,000
544	EMN	Year 1	12/31/2012	2012	$8,102,000,000	$6,340,000,000	$644,000,000	$198,000,000	$0	Materials	Diversified Chemicals	0.22	0.11	$920,000,000	$1,762,000,000
545	EMN	Year 2	12/31/2013	2013	$9,350,000,000	$6,574,000,000	$645,000,000	$193,000,000	$0	Materials	Diversified Chemicals	0.30	0.21	$1,938,000,000	$2,776,000,000
546	EMN	Year 3	12/31/2014	2014	$9,527,000,000	$7,306,000,000	$755,000,000	$227,000,000	$0	Materials	Diversified Chemicals	0.23	0.13	$1,239,000,000	$2,221,000,000
547	EMN	Year 4	12/31/2015	2015	$9,648,000,000	$7,068,000,000	$762,000,000	$251,000,000	$0	Materials	Diversified Chemicals	0.27	0.16	$1,567,000,000	$2,580,000,000
548	EMR	Year 1	9/30/2013	2013	$24,669,000,000	$14,717,000,000	$6,010,000,000	$0	$0	Industrials	Industrial Conglomerates	0.40	0.16	$3,942,000,000	$9,952,000,000
549	EMR	Year 2	9/30/2014	2014	$17,733,000,000	$9,971,000,000	$4,375,000,000	$0	$0	Industrials	Industrial Conglomerates	0.44	0.19	$3,387,000,000	$7,762,000,000
550	EMR	Year 3	9/30/2015	2015	$16,249,000,000	$9,241,000,000	$4,065,000,000	$0	$0	Industrials	Industrial Conglomerates	0.43	0.18	$2,943,000,000	$7,008,000,000
551	EMR	Year 4	9/30/2016	2016	$14,522,000,000	$8,260,000,000	$3,758,000,000	$0	$0	Industrials	Industrial Conglomerates	0.43	0.17	$2,504,000,000	$6,262,000,000
552	EOG	Year 1	12/31/2012	2012	$11,682,636,000	$1,699,428,000	$3,862,434,000	$0	$3,169,703,000	Energy	Oil & Gas Exploration & Production	0.85	0.25	$2,951,071,000	$9,983,208,000
553	EOG	Year 2	12/31/2013	2013	$14,487,118,000	$2,066,893,000	$4,621,096,000	$0	$3,600,976,000	Energy	Oil & Gas Exploration & Production	0.86	0.29	$4,198,153,000	$12,420,225,000
554	EOG	Year 3	12/31/2014	2014	$18,035,340,000	$2,534,389,000	$5,285,634,000	$0	$3,997,041,000	Energy	Oil & Gas Exploration & Production	0.86	0.34	$6,218,276,000	$15,500,951,000
555	EOG	Year 4	12/31/2015	2015	$8,757,428,000	$2,177,757,000	$3,174,320,000	$0	$3,313,644,000	Energy	Oil & Gas Exploration & Production	0.75	0.01	$91,707,000	$6,579,671,000
556	EQIX	Year 1	12/31/2012	2012	$1,887,376,000	$944,617,000	$531,180,000	$0	$0	Real Estate	REITs	0.50	0.22	$411,579,000	$942,759,000
557	EQIX	Year 2	12/31/2013	2013	$2,152,766,000	$1,064,403,000	$621,413,000	$0	$0	Real Estate	REITs	0.51	0.22	$466,950,000	$1,088,363,000
558	EQIX	Year 3	12/31/2014	2014	$2,443,776,000	$1,197,885,000	$734,119,000	$0	$0	Real Estate	REITs	0.51	0.21	$511,772,000	$1,245,891,000
559	EQIX	Year 4	12/31/2015	2015	$2,725,867,000	$1,291,506,000	$825,296,000	$0	$0	Real Estate	REITs	0.53	0.22	$609,065,000	$1,434,361,000
560	EQR	Year 1	12/31/2012	2012	$1,747,502,000	$625,507,000	$47,233,000	$0	$560,669,000	Real Estate	REITs	0.64	0.29	$514,093,000	$1,121,995,000
561	EQR	Year 2	12/31/2013	2013	$2,387,702,000	$834,228,000	$62,179,000	$0	$978,973,000	Real Estate	REITs	0.65	0.21	$512,322,000	$1,553,474,000
562	EQR	Year 3	12/31/2014	2014	$2,614,748,000	$883,564,000	$50,948,000	$0	$758,861,000	Real Estate	REITs	0.66	0.35	$921,375,000	$1,731,184,000
563	EQR	Year 4	12/31/2015	2015	$2,744,965,000	$905,168,000	$65,082,000	$0	$765,895,000	Real Estate	REITs	0.67	0.37	$1,008,820,000	$1,839,797,000
564	EQT	Year 1	12/31/2013	2013	$1,859,177,000	$354,561,000	$200,849,000	$0	$653,132,000	Energy	Oil & Gas Exploration & Production	0.81	0.35	$650,635,000	$1,504,616,000
565	EQT	Year 2	12/31/2014	2014	$2,388,768,000	$443,974,000	$238,134,000	$0	$679,298,000	Energy	Oil & Gas Exploration & Production	0.81	0.43	$1,027,362,000	$1,944,794,000
566	EQT	Year 3	12/31/2015	2015	$1,954,000,000	$523,043,000	$249,925,000	$0	$819,216,000	Energy	Oil & Gas Exploration & Production	0.73	0.19	$361,816,000	$1,430,957,000
567	EQT	Year 4	12/31/2016	2016	$1,857,339,000	$613,909,000	$272,747,000	$0	$927,920,000	Energy	Oil & Gas Exploration & Production	0.67	0.02	$42,763,000	$1,243,430,000
568	ES	Year 1	12/31/2012	2012	$6,273,787,000	$3,667,434,000	$747,356,000	$0	$740,791,000	Utilities	MultiUtilities	0.42	0.18	$1,118,206,000	$2,606,353,000
569	ES	Year 2	12/31/2013	2013	$7,301,204,000	$3,997,940,000	$914,149,000	$0	$859,680,000	Utilities	MultiUtilities	0.45	0.21	$1,529,435,000	$3,303,264,000
570	ES	Year 3	12/31/2014	2014	$7,741,856,000	$4,449,139,000	$1,034,507,000	$0	$625,361,000	Utilities	MultiUtilities	0.43	0.21	$1,632,849,000	$3,292,717,000
571	ES	Year 4	12/31/2015	2015	$7,954,827,000	$4,416,194,000	$1,086,274,000	$0	$688,195,000	Utilities	MultiUtilities	0.44	0.22	$1,764,164,000	$3,538,633,000
572	ESS	Year 1	12/31/2012	2012	$535,153,000	$172,167,000	$24,573,000	$0	$169,173,000	Real Estate	Residential REITs	0.68	0.32	$169,240,000	$362,986,000
573	ESS	Year 2	12/31/2013	2013	$610,590,000	$197,336,000	$26,684,000	$0	$192,420,000	Real Estate	Residential REITs	0.68	0.32	$194,150,000	$413,254,000
574	ESS	Year 3	12/31/2014	2014	$970,938,000	$312,546,000	$40,878,000	$0	$360,592,000	Real Estate	Residential REITs	0.68	0.26	$256,922,000	$658,392,000
575	ESS	Year 4	12/31/2015	2015	$1,194,407,000	$363,508,000	$40,090,000	$0	$453,423,000	Real Estate	Residential REITs	0.70	0.28	$337,386,000	$830,899,000
576	ETFC	Year 1	12/31/2012	2012	$1,365,000,000	$0	$921,000,000	$0	$471,000,000	Financials	Investment Banking & Brokerage	1.00	-0.02	-$27,000,000	$1,365,000,000
577	ETFC	Year 2	12/31/2013	2013	$1,466,000,000	$0	$888,000,000	$0	$256,000,000	Financials	Investment Banking & Brokerage	1.00	0.22	$322,000,000	$1,466,000,000
